"","Curso","Turno","Ensino médio","Opinião","Renda","Nota ENEM","IAA"
"1","Mecânica","Integral","Maior parte em particular","Insatisfeito",2.96,944,7.117
"2","Química","Diurno","Somente em pública","Satisfeito",1.16,568,5.051
"3","Mecânica","Integral","Maior parte em particular","Insatisfeito",2.59,679,5.934
"4","Computação","Noturno","Somente em pública","Muito satisfeito",1.04,361,3.895
"5","Produção","Noturno","Somente em pública","Indiferente",1.32,613,5.383
"6","Computação","Diurno","Somente em pública","Satisfeito",1.77,731,5.999
"7","Computação","Noturno","Somente em pública","Muito satisfeito",1.08,598,5.561
"8","Computação","Noturno","Somente em pública","Satisfeito",1.17,610,5.226
"9","Mecânica","Integral","Somente em pública","Satisfeito",1.21,424,3.89
"10","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,271,3.139
"11","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.09,607,5.33
"12","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.06,634,5.225
"13","Química","Diurno","Somente em pública","Muito satisfeito",1.05,560,5.246
"14","Produção","Integral","Maior parte em particular","Insatisfeito",3.22,623,5.562
"15","Mecânica","Integral","Maior parte em particular","Insatisfeito",2.86,545,5.082
"16","Computação","Diurno","Somente em pública","Satisfeito",1.72,577,5.344
"17","Química","Diurno","Somente em pública","Satisfeito",1.43,484,4.844
"18","Computação","Noturno","Somente em pública","Satisfeito",1.04,251,3.112
"19","Química","Noturno","Somente em pública","Muito satisfeito",1.01,358,3.981
"20","Produção","Diurno","Maior parte em particular","Indiferente",1.48,550,4.976
"21","Produção","Integral","Maior parte em particular","Insatisfeito",1.38,616,5.043
"22","Produção","Integral","Maior parte em pública","Insatisfeito",1.99,512,4.974
"23","Mecânica","Diurno","Somente em pública","Satisfeito",2.48,712,5.902
"24","Computação","Integral","Maior parte em pública","Insatisfeito",1.6,580,5.234
"25","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.01,410,3.626
"26","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,212,3.156
"27","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",3.09,652,5.816
"28","Computação","Diurno","Somente em pública","Satisfeito",1.17,479,4.909
"29","Computação","Noturno","Somente em pública","Satisfeito",1.13,454,4.157
"30","Produção","Diurno","Maior parte em particular","Insatisfeito",1.91,413,4.635
"31","Produção","Diurno","Somente em pública","Satisfeito",1.37,481,4.387
