,Curso,Turno,Ensino médio,Opinião,Renda,Nota ENEM,IAA,OpiniãoC
79,Produção,Integral,Somente em pública,Insatisfeito,1.69,527,4.806,INSATISFEITO
6265,Produção,Integral,Maior parte em pública,Insatisfeito,1.31,569,4.474,INSATISFEITO
6694,Química,Integral,Maior parte em particular,Indiferente,1.72,503,4.827,INSATISFEITO
8191,Química,Integral,Maior parte em particular,Insatisfeito,1.31,409,3.585,INSATISFEITO
7704,Mecânica,Integral,Maior parte em pública,Insatisfeito,2.94,782,6.595,INSATISFEITO
4987,Mecânica,Integral,Maior parte em pública,Muito insatisfeito,1.98,718,5.959,INSATISFEITO
3343,Mecânica,Integral,Maior parte em particular,Indiferente,1.73,613,5.346,INSATISFEITO
4123,Produção,Integral,Maior parte em particular,Insatisfeito,1.81,493,4.165,INSATISFEITO
1867,Civil,Diurno,Maior parte em particular,Indiferente,1.08,479,4.7330000000000005,INSATISFEITO
6478,Civil,Integral,Maior parte em particular,Indiferente,1.78,349,3.341,INSATISFEITO
1582,Mecânica,Diurno,Maior parte em pública,Insatisfeito,1.82,523,4.8469999999999995,INSATISFEITO
6321,Produção,Integral,Maior parte em particular,Indiferente,1.29,605,5.697,INSATISFEITO
4761,Civil,Diurno,Somente em pública,Indiferente,1.69,484,4.761,INSATISFEITO
106,Química,Noturno,Somente em pública,Indiferente,1.6,575,5.084,INSATISFEITO
7233,Mecânica,Integral,Maior parte em pública,Muito insatisfeito,1.66,632,5.626,INSATISFEITO
