,Curso,Turno,Ensino médio,Opinião,Renda,Nota ENEM,IAA,OpiniãoC
7197,Química,Diurno,Maior parte em particular,Indiferente,1.16,487,4.811,INSATISFEITO
9926,Produção,Integral,Maior parte em particular,Muito insatisfeito,2.66,724,5.7589999999999995,INSATISFEITO
6588,Química,Integral,Maior parte em pública,Insatisfeito,2.6,674,5.93,INSATISFEITO
460,Produção,Diurno,Maior parte em particular,Indiferente,1.12,373,3.945,INSATISFEITO
9174,Mecânica,Integral,Somente em pública,Insatisfeito,1.89,797,6.524,INSATISFEITO
812,Produção,Integral,Maior parte em pública,Muito insatisfeito,3.37,755,6.557,INSATISFEITO
9973,Química,Integral,Somente em pública,Insatisfeito,3.61,631,5.111000000000001,INSATISFEITO
9978,Mecânica,Integral,Maior parte em particular,Insatisfeito,1.69,550,5.101,INSATISFEITO
1718,Mecânica,Integral,Maior parte em particular,Insatisfeito,1.99,703,6.2860000000000005,INSATISFEITO
2940,Civil,Integral,Maior parte em pública,Insatisfeito,2.54,551,4.428,INSATISFEITO
9713,Computação,Integral,Somente em pública,Indiferente,2.19,505,4.463,INSATISFEITO
2361,Mecânica,Integral,Maior parte em pública,Muito insatisfeito,2.62,623,5.092,INSATISFEITO
76,Mecânica,Diurno,Somente em pública,Indiferente,2.0,478,4.602,INSATISFEITO
4846,Mecânica,Integral,Maior parte em particular,Insatisfeito,1.48,682,5.7,INSATISFEITO
8686,Mecânica,Integral,Maior parte em pública,Muito insatisfeito,4.59,896,7.5,INSATISFEITO
