,Curso,Turno,Ensino médio,Opinião,Renda,Nota ENEM,IAA,OpiniãoC
3492,Computação,Diurno,Somente em pública,Satisfeito,1.28,467,3.97,SATISFEITO
9416,Elétrica,Noturno,Somente em particular,Muito satisfeito,1.01,454,4.38,SATISFEITO
9294,Elétrica,Noturno,Somente em particular,Muito satisfeito,1.04,424,4.3,SATISFEITO
971,Elétrica,Noturno,Somente em particular,Muito satisfeito,1.16,461,4.274,SATISFEITO
4897,Química,Noturno,Somente em pública,Muito satisfeito,1.2,460,4.5969999999999995,SATISFEITO
180,Química,Noturno,Somente em particular,Muito satisfeito,1.4,328,3.264,SATISFEITO
3735,Produção,Noturno,Somente em pública,Satisfeito,1.08,286,3.236,SATISFEITO
2388,Mecânica,Integral,Somente em pública,Satisfeito,1.32,359,3.967,SATISFEITO
7752,Mecânica,Diurno,Somente em pública,Satisfeito,2.42,563,5.234,SATISFEITO
3489,Química,Diurno,Somente em particular,Muito satisfeito,1.33,658,5.718999999999999,SATISFEITO
8699,Elétrica,Noturno,Somente em particular,Muito satisfeito,1.1,577,5.377000000000001,SATISFEITO
2492,Química,Noturno,Somente em pública,Muito satisfeito,1.24,539,5.274,SATISFEITO
1104,Elétrica,Noturno,Somente em particular,Muito satisfeito,1.06,397,3.725,SATISFEITO
2058,Produção,Noturno,Somente em pública,Satisfeito,1.55,407,4.077,SATISFEITO
3903,Produção,Diurno,Somente em pública,Satisfeito,2.5,616,5.865,SATISFEITO
